host,country,isolation,collection_date
Homo sapiens,USA,urine,2016/08/05
Homo sapiens,USA,urine,2016/08/17
Homo sapiens,USA,blood,2016/09/19
Homo sapiens,USA,blood,2016/09/28
Homo sapiens,USA,urine,2016/07/29
Homo sapiens,USA,urine,2016/08/04
Homo sapiens,USA,urine,2016/08/04
Homo sapiens,USA,urine,2016/08/23
Homo sapiens,USA,urine,2016/08/31
Homo sapiens,USA,urine,2016/10/11
Homo sapiens,USA,urine,2016/10/03
Homo sapiens,USA,blood,2016/09/28
Homo sapiens,USA,blood,2016/08/15
Homo sapiens,Colombia,"saliva,oronasopharynx",2016/02/09
Macaca mulatta,Uganda,"kidney,abdominal cavity",1947/04
Homo sapiens,China,blood,2016
Homo sapiens,Mexico,,2016/08/05
Homo sapiens,Mexico,,2016/06/30
Aedes aegypti,Haiti,,2016/05/17
Homo sapiens,Micronesia,blood,2007/06/01
Homo sapiens,Guatemala,,2015/12/01
Homo sapiens,Brazil,,2015
Homo sapiens,Guatemala,,2015/11/01
Aedes africanus,Central African Republic,,1968
Aedes luteocephalus,Senegal,,1997
Aedes dalzieli,Senegal,,2001
Aedes dalzieli,Senegal,,2001
Aedes luteocephalus,Senegal,,1968
Homo sapiens,Brazil,,2015
Homo sapiens,Brazil,,2015
Homo sapiens,Brazil,,2015
Homo sapiens,Brazil,,2015
Homo sapiens,Honduras,,2016/08/26
Homo sapiens,Honduras,,2016/08/26
Homo sapiens,Peru,,2016/06/28
Homo sapiens,Peru,,2016/07/11
Homo sapiens,Venezuela,,2016/10/19
Aedes aegypti,French Guiana,,2016
Aedes aegypti,French Guiana,,2016
Armigeres subalbatus,China,,2016/12/01
Aedes aegypti,Guadeloupe,,2016
Aedes aegypti,Guadeloupe,,2016
Aedes aegypti,Guadeloupe,,2016
Aedes aegypti,Guadeloupe,,2016
Aedes aegypti,Guadeloupe,,2016
Aedes aegypti,Guadeloupe,,2016
Aedes aegypti,Guadeloupe,,2016
Homo sapiens,French Polynesia,,2013/11/28
Homo sapiens,Haiti,blood,2014/12/12
Homo sapiens,Mexico,blood,2016/03/03
Homo sapiens,Mexico,"kidney,abdominal cavity",2016/03/03
Aedes africanus,Uganda,,1962/11
Simiiformes,Uganda,,1947
Tissue culture cells,Uganda,,1947
Simiiformes,Uganda,,1947
Tissue culture cells,Uganda,,1947
Macaca mulatta,Uganda,,1947/04
Simiiformes,Uganda,,2016/06/14
Homo sapiens,Martinique,,2015/12
Homo sapiens,Brazil,brain,2015
Aedes aegypti,Malaysia,,1966/07
Homo sapiens,French Polynesia,blood,2013/10/25
Homo sapiens,French Polynesia,blood,2013/10/25
Homo sapiens,Puerto Rico,,2015/12
Homo sapiens,Puerto Rico,,2015/12/01
Homo sapiens,Suriname,blood,2016/01/22
Homo sapiens,Italy,sperm,2016/04
Aedes aegypti,Mexico,"kidney,abdominal cavity",2016
Aedes sp.,Malaysia,"kidney,abdominal cavity",1966/07/14
Aedes africanus,Senegal,"kidney,abdominal cavity",1984/11/17
Aedes africanus,Senegal,"kidney,abdominal cavity",1984/11/17
Aedes africanus,Senegal,,1984/11/17
Aedes sp.,Mexico,,2016/01/01
Aedes sp.,Malaysia,,1966/07/14
Aedes sp.,Mexico,"kidney,abdominal cavity",2016/01/01
Aedes sp.,Mexico,"kidney,abdominal cavity",2016/01/01
Homo sapiens,Ecuador,blood,2016/04
Homo sapiens,Ecuador,blood,2016/04
Homo sapiens,Ecuador,,2016/05/01
Homo sapiens,Puerto Rico,,2015/12/01
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2015/12
Homo sapiens,Colombia,,2016/12
Homo sapiens,Colombia,,2016/12
Homo sapiens,Colombia,,2016/12
Homo sapiens,Colombia,,2016/12
Homo sapiens,Colombia,,2016/12
